name;vendor;category;functionality;expiration;service_name;service_url
acalltrackerreferrer;AdCalls;Marketing;tostore referrer ID's.;persistent;AdCalls;https://cookiedatabase.org/service/adcalls/
prism_*;Active Campaign;Marketing;toStore and track interaction.;2 years;Active Campaign;https://cookiedatabase.org/service/active-campaign/
abj404_solution_*;404 Solution;Unknown;with unknown functionality;at least one session;404 Solution;https://cookiedatabase.org/service/404-solution/
ac_enable_tracking;Active Campaign;Functional;tostore cookie consent preferences.;1 month;Active Campaign;https://cookiedatabase.org/service/active-campaign/
acalltrackersession;AdCalls;Unknown;tostore a unique user ID.;session;AdCalls;https://cookiedatabase.org/service/adcalls/
at-lojson-cache-*;AddThis;Marketing;toprovide functions across pages.;persistent;AddThis;https://cookiedatabase.org/service/addthis/
acalltracker;AdCalls;Unknown;tostore phone numbers.;1 month;AdCalls;https://cookiedatabase.org/service/adcalls/
__atrfs;AddThis;Marketing;toprovide functions across pages.;session;AddThis;https://cookiedatabase.org/service/addthis/
_at.hist.*;AddThis;Statistics;tostore the user's usage history.;persistent;AddThis;https://cookiedatabase.org/service/addthis/
ouid;AddThis;Marketing;tostore a unique user ID.;1 year;AddThis;https://cookiedatabase.org/service/addthis/
na_tc;AddThis;Marketing;tostore dynamic variables from the browser.;2 years;AddThis;https://cookiedatabase.org/service/addthis/
mus;AddThis;Marketing;toprovide functions across pages.;1 year;AddThis;https://cookiedatabase.org/service/addthis/
loc;AddThis;Marketing;tostore location data.;13 months;AddThis;https://cookiedatabase.org/service/addthis/
uvc;AddThis;Marketing;tostore and track visits across websites.;13 months;AddThis;https://cookiedatabase.org/service/addthis/
uid;AddThis;Statistics;tostore a unique user ID.;1 year;AddThis;https://cookiedatabase.org/service/addthis/
uit;AddThis;Unknown;with unknown functionality;at least one session;AddThis;https://cookiedatabase.org/service/addthis/
DigiTrust.v1.identity;Adform;Marketing;tostore a unique user ID.;1 week;Adform;https://cookiedatabase.org/service/adform/
ADKUID;AdKernel;Unknown;with unknown functionality;at least one session;AdKernel;https://cookiedatabase.org/service/adkernel/
ADK_EX_15;AdKernel;Unknown;with unknown functionality;at least one session;AdKernel;https://cookiedatabase.org/service/adkernel/
s_ecid;Adobe experience cloud;Marketing;toStore and track interaction.;2 years;Adobe experience cloud;https://cookiedatabase.org/service/adobeexperiencecloud/
AMCV_*AdobeOrg;Adobe experience cloud;Statistics;tostore last visit.;2 years;Adobe experience cloud;https://cookiedatabase.org/service/adobeexperiencecloud/
AMCVS_*AdobeOrg;Adobe experience cloud;Marketing;toStore and track interaction.;session;Adobe experience cloud;https://cookiedatabase.org/service/adobeexperiencecloud/
AMCVS_*@AdobeOrg;Adobe experience cloud;Marketing;toStore and track interaction.;session;Adobe experience cloud;https://cookiedatabase.org/service/adobeexperiencecloud/
AMCV_*@AdobeOrg;Adobe experience cloud;Statistics;tostore last visit.;2 years;Adobe experience cloud;https://cookiedatabase.org/service/adobeexperiencecloud/
redux_*;Admin;Unknown;with unknown functionality;at least one session;Admin;https://cookiedatabase.org/service/admin/
HS_APPS;Admin;Functional;toprovide admin functions.;various;Admin;https://cookiedatabase.org/service/admin/
sessioncookie;Admin;Unknown;with unknown functionality;at least one session;Admin;https://cookiedatabase.org/service/admin/
HS_APPS_FETCH_DATE;Admin;Functional;toprovide timezone.;various;Admin;https://cookiedatabase.org/service/admin/
lastClipboardTimestamp;Admin;Unknown;with unknown functionality;at least one session;Admin;https://cookiedatabase.org/service/admin/
color;Admin;Unknown;with unknown functionality;at least one session;Admin;https://cookiedatabase.org/service/admin/
tab-active;Admin;Unknown;with unknown functionality;at least one session;Admin;https://cookiedatabase.org/service/admin/
cp-userdata-config_activepill_sliders_;Admin;Functional;with unknown functionality;at least one session;Admin;https://cookiedatabase.org/service/admin/
*_current_step;Admin;Unknown;with unknown functionality;at least one session;Admin;https://cookiedatabase.org/service/admin/
*_end;Admin;Unknown;with unknown functionality;at least one session;Admin;https://cookiedatabase.org/service/admin/
Adobe Fonts API;Adobe Fonts;Marketing;toread user IP address.;expires immediately;Adobe Fonts;https://cookiedatabase.org/service/adobefonts/
s_cc;Adobe Analytics;Functional;tostore information about cookies that have been detected on the site.;session;Adobe Analytics;https://cookiedatabase.org/service/adobe-analytics/
demdex;Adobe Marketing Cloud;Marketing;toprovide functions across pages.;6 months;Adobe Marketing Cloud;https://cookiedatabase.org/service/adobe-marketing-cloud/
dpm;Adobe Marketing Cloud;Marketing;toprovide ad delivery or retargeting.;6 months;Adobe Marketing Cloud;https://cookiedatabase.org/service/adobe-marketing-cloud/
SnapABugRef;Adobe Marketing Cloud,SnapEngage;Unknown;with unknown functionality;1 hour;Adobe Marketing Cloud;https://cookiedatabase.org/service/adobe-marketing-cloud/
s_vi;Adobe Marketing Cloud;Marketing;tostore and count pageviews.;10 years;Adobe Marketing Cloud;https://cookiedatabase.org/service/adobe-marketing-cloud/
__adroll_v4;Adroll;Marketing;with unknown functionality;at least one session;Adroll;https://cookiedatabase.org/service/adroll/
__adroll_post_consent_css;Adroll;Functional;with unknown functionality;at least one session;Adroll;https://cookiedatabase.org/service/adroll/
__adroll_consent_paramas;Adroll;Functional;with unknown functionality;at least one session;Adroll;https://cookiedatabase.org/service/adroll/
__adroll_post_consent_html;Adroll;Functional;with unknown functionality;at least one session;Adroll;https://cookiedatabase.org/service/adroll/
adthrive_lzbpvp;AdThrive;Marketing;tostore information for remarketing purposes.;at least one session;AdThrive;https://cookiedatabase.org/service/adthrive/
__adroll_fpc;Adroll;Marketing;with unknown functionality;at least one session;Adroll;https://cookiedatabase.org/service/adroll/
__adroll;Adroll;Marketing;with unknown functionality;at least one session;Adroll;https://cookiedatabase.org/service/adroll/
adthrive_reqto;AdThrive;Marketing;tostore information for remarketing purposes.;at least one session;AdThrive;https://cookiedatabase.org/service/adthrive/
adthrive_lzhb;AdThrive;Marketing;tostore information for remarketing purposes.;at least one session;AdThrive;https://cookiedatabase.org/service/adthrive/
adthrive_vast_to;AdThrive;Marketing;tostore information for remarketing purposes.;at least one session;AdThrive;https://cookiedatabase.org/service/adthrive/
adthrive_lzcvp;AdThrive;Marketing;tostore information for remarketing purposes.;at least one session;AdThrive;https://cookiedatabase.org/service/adthrive/
adthrive_maxre;AdThrive;Marketing;tostore information for remarketing purposes.;at least one session;AdThrive;https://cookiedatabase.org/service/adthrive/
adthrive_idho;AdThrive;Marketing;tostore information for remarketing purposes.;at least one session;AdThrive;https://cookiedatabase.org/service/adthrive/
adthrive_auorder;AdThrive;Marketing;tostore information for remarketing purposes.;at least one session;AdThrive;https://cookiedatabase.org/service/adthrive/
adthrive_amzn_hold_load;AdThrive;Functional;toprovide load balancing functionality.;persistent;AdThrive;https://cookiedatabase.org/service/adthrive/
adthrive_vscs;AdThrive;Marketing;tostore information for remarketing purposes.;at least one session;AdThrive;https://cookiedatabase.org/service/adthrive/
acf;Advanced Custom Fields;Unknown;toprovide functions across pages.;expires immediately;Advanced Custom Fields;https://cookiedatabase.org/service/advanced-custom-fields/
kalium_acfpro_gm_tab_*;Advanced Custom Fields;Functional;toprovide functions across pages.;at least one session;Advanced Custom Fields;https://cookiedatabase.org/service/advanced-custom-fields/
aelia_cs_selected_currency;Aelia;Functional;tostore currency settings.;1 day;Aelia;https://cookiedatabase.org/service/aelia/
hppsession;Adyen;Functional;with unknown functionality;at least one session;Adyen;https://cookiedatabase.org/service/adyen/
google_ama_config;Advanced Ads,Google Adsense;Marketing;with unknown functionality;persistent;Advanced Ads;https://cookiedatabase.org/service/advanced-ads/
advanced_ads_hide_deactivate_feedback;Advanced Ads;Functional;toprovide a responsive website.;30 days;Advanced Ads;https://cookiedatabase.org/service/advanced-ads/
_gat_advadsTracker;Advanced Ads;Marketing;toStore and track interaction.;various;Advanced Ads;https://cookiedatabase.org/service/advanced-ads/
advads_hide_deactivate_feedback;Advanced Ads;Functional;toprovide a responsive website.;30 days;Advanced Ads;https://cookiedatabase.org/service/advanced-ads/
advanced_ads_page_impressions;Advanced Ads;Statistics;tostore and count pageviews.;6 months;Advanced Ads;https://cookiedatabase.org/service/advanced-ads/
advanced_ads_browser_width;Advanced Ads;Marketing;toprovide a responsive website.;30 days;Advanced Ads;https://cookiedatabase.org/service/advanced-ads/
advanced_ads_pro_visitor_referrer;Advanced Ads;Marketing;tostore referring website.;1 year;Advanced Ads;https://cookiedatabase.org/service/advanced-ads/
afwc_campaign;Affiliate for WooCommerce;Statistics (anonymous);tostore and track the affiliate campaign.;at least one session;Affiliate for WooCommerce;https://cookiedatabase.org/service/affiliate-for-woocommerce/
affwp_ref_visit_id;Affiliate WP;Statistics (anonymous);tostore a unique user ID.;1 month;Affiliate WP;https://cookiedatabase.org/service/affiliate_wp/
affwp_ref;Affiliate WP;Statistics (anonymous);tostore referrer ID's.;1 month;Affiliate WP;https://cookiedatabase.org/service/affiliate_wp/
affwp_campaign;Affiliate WP;Statistics (anonymous);tostore referring website.;1 month;Affiliate WP;https://cookiedatabase.org/service/affiliate_wp/
*-agile-crm-guid;Agile CRM;Marketing;tostore and track a visitor's identity.;5 years;Agile CRM;https://cookiedatabase.org/service/agile-crm/
age-gator;Age Gator;Functional;toprovide access.;persistent;Age Gator;https://cookiedatabase.org/service/age-gator/
*-agile-crm-session_start_time;Agile CRM;Marketing;toprovide functions across pages.;session;Agile CRM;https://cookiedatabase.org/service/agile-crm/
*-agile-crm-session_id;Agile CRM;Marketing;toprovide functions across pages.;session;Agile CRM;https://cookiedatabase.org/service/agile-crm/
ak_bmsc;Akamai;Unknown;with unknown functionality;at least one session;Akamai;https://cookiedatabase.org/service/akamai/
__auc;Alexa Analytics;Statistics;with unknown functionality;1 year;Alexa Analytics;https://cookiedatabase.org/service/alexa-analytics/
AKA_A2;Akamai;Functional;with unknown functionality;at least one session;Akamai;https://cookiedatabase.org/service/akamai/
service-*;Algolia;Unknown;with unknown functionality;at least one session;Algolia;https://cookiedatabase.org/service/algolia/
__asc;Alexa Analytics;Statistics;with unknown functionality;1 day;Alexa Analytics;https://cookiedatabase.org/service/alexa-analytics/
aiowps_cookie_test_*;All In One WP Security & Firewall;Functional;with unknown functionality;at least one session;"All In One WP Security &amp; Firewall";https://cookiedatabase.org/service/all-in-one-wp-security-firewall/
hasConsents;All in One WP Migration;Functional;tostore privacy preferences.;session;All in One WP Migration;https://cookiedatabase.org/service/all-in-one-wp-migration/
hasConsent;All in One WP Migration;Functional;tostore privacy preferences.;session;All in One WP Migration;https://cookiedatabase.org/service/all-in-one-wp-migration/
algoliasearch-client-js;Algolia;Functional;with unknown functionality;session;Algolia;https://cookiedatabase.org/service/algolia/
av_cid;Altervista;Marketing;toprovide functions across pages.;various;Altervista;https://cookiedatabase.org/service/altervista/
gtag_ga;Altervista,Google various services;Statistics;tostore anonymized statistics.;2 years;Altervista;https://cookiedatabase.org/service/altervista/
hasConsented;All in One WP Migration;Functional;tostore privacy preferences.;session;All in One WP Migration;https://cookiedatabase.org/service/all-in-one-wp-migration/
gtag_ga_R5PDW0TTSP;Altervista,Google various services;Statistics;tostore a unique user ID.;2 years;Altervista;https://cookiedatabase.org/service/altervista/
av_earnings_cache_key;Altervista;Functional;toprovide admin functions.;persistent;Altervista;https://cookiedatabase.org/service/altervista/
av_earnings_cache;Altervista;Functional;toProvide the prevention of cached pages.;persistent;Altervista;https://cookiedatabase.org/service/altervista/
AWSALB;Amazon Application Load Balancer;Functional;toprovide load balancing functionality.;1 week;Amazon Application Load Balancer;https://cookiedatabase.org/service/amazon-application-load-balancer/
AWSALBCORS;Amazon Application Load Balancer;Functional;toprovide load balancing functionality.;1 week;Amazon Application Load Balancer;https://cookiedatabase.org/service/amazon-application-load-balancer/
AWSELB;Amazon Application Load Balancer;Functional;toprovide load balancing functionality.;session;Amazon Application Load Balancer;https://cookiedatabase.org/service/amazon-application-load-balancer/
ad-privacy;Amazon Adsystem;Marketing;toprovide ad delivery or retargeting.;5 years;Amazon Adsystem;https://cookiedatabase.org/service/amazon-adsystem/
ad-id;Amazon Adsystem;Marketing;toprovide ad delivery or retargeting.;7 months;Amazon Adsystem;https://cookiedatabase.org/service/amazon-adsystem/
clickcount;Amazon;Unknown;with unknown functionality;session;Amazon;https://cookiedatabase.org/service/amazon/
session_count;Amazon;Unknown;with unknown functionality;persistent;Amazon;https://cookiedatabase.org/service/amazon/
boostpixel_cookie;Amazon;Unknown;with unknown functionality;1 year;Amazon;https://cookiedatabase.org/service/amazon/
apay-session-set;Amazon Pay;Unknown;with unknown functionality;session;Amazon Pay;https://cookiedatabase.org/service/amazon-pay/
amazon-pay-abtesting-apa-migration;Amazon Pay;Functional;with unknown functionality;session;Amazon Pay;https://cookiedatabase.org/service/amazon-pay/
amazon-pay-abtesting-new-widgets;Amazon Pay;Unknown;with unknown functionality;session;Amazon Pay;https://cookiedatabase.org/service/amazon-pay/
